,id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
0,15df64c02b6b0fde,Danny Abbadi,71,155.0,75.75,3.29,38,4.41,57,0.0,0,77,0.0,0,2,-2,-2
1,b361180739bed4b0,David Abbott,72,265.0,75.75,1.35,30,3.55,38,1.07,33,66,0.0,8,13,-5,-7
2,3329d692aea4dc28,Hamdy Abdelwahab,74,264.0,72.0,3.87,52,3.13,59,3.0,75,0,0.0,1,0,1,1
3,2f5cbecbbe18bac4,Shamil Abdurakhimov,75,235.0,76.0,2.6,44,2.8,58,1.09,23,47,0.2,5,5,0,-3
4,c0ed7b208197e8de,Hiroyuki Abe,66,145.0,75.75,1.71,36,3.11,63,0.0,0,33,0.0,0,1,-1,0
5,5140122c3eecd307,Daichi Abe,71,170.0,71.0,3.8,33,4.49,56,0.33,50,0,0.0,1,2,-1,-2
6,c9f6385af6df66d7,Papy Abedi,71,185.0,75.75,2.8,55,3.15,48,3.47,57,50,1.3,1,3,-2,-1
7,7279654c7674cd24,Klidson Abreu,72,205.0,74.0,2.05,40,2.9,55,0.64,20,80,0.0,1,2,-1,0
8,aa6e591c2a2cdecd,Ricardo Abreu,71,185.0,75.75,3.79,31,3.98,68,2.13,42,100,0.7,1,1,0,-1
9,1c5879330d42255f,Daniel Acacio,68,180.0,75.75,3.52,36,2.85,62,0.33,20,81,0.0,2,2,0,-2
10,989b85f6540c86b1,John Adajar,69,170.0,75.0,3.9,52,6.28,44,0.0,0,0,0.0,0,1,-1,-1
11,a77633a989013265,Anthony Adams,73,185.0,76.0,3.17,41,5.93,44,0.0,0,0,0.0,0,2,-2,-2
12,83b00f7597e5ac83,Juan Adams,77,265.0,80.0,7.09,55,4.06,34,0.91,66,57,0.0,2,3,-1,-3
13,79cb2a690b9ba5e8,Zarrukh Adashev,65,125.0,65.0,3.65,40,3.04,64,0.0,0,100,0.5,1,3,-2,-1
14,1338e2c7480bdf9e,Israel Adesanya,76,185.0,80.0,3.93,49,2.67,59,0.0,0,78,0.2,12,1,11,3
15,ebc5af72ad5a28cb,Nick Agallar,68,155.0,75.75,0.69,11,4.56,42,0.0,0,0,0.0,0,1,-1,-1
16,a08ddd04eaffd81d,Mariya Agapova,66,125.0,68.0,4.56,53,4.37,51,0.69,66,42,0.7,2,3,-1,-1
17,cf946e03ba2e7666,Kevin Aguilar,67,155.0,73.0,3.96,40,4.81,52,0.16,16,78,0.0,3,4,-1,-4
18,8f382b3baa954d2a,Jessica Aguilar,63,115.0,63.0,4.93,50,7.19,53,0.94,25,50,0.2,1,4,-3,-2
19,c051c2e12d692b8a,Jesus Aguilar,64,125.0,62.0,2.01,46,1.17,66,3.77,37,0,1.3,1,0,1,1
20,ae071698e1a3ccd4,Christian Aguilera,69,170.0,72.0,2.54,37,4.04,48,0.0,0,60,0.0,1,2,-1,-2
21,9e3dbb9c68ed5d1a,Mike Aina,69,155.0,75.75,2.87,33,6.33,59,0.0,0,71,0.0,0,1,-1,0
22,2eada40ac8801559,Hitomi Akano,64,135.0,75.75,0.59,45,2.58,55,0.0,0,8,0.5,1,3,-2,-2
23,16690d100f995f8f,Omari Akhmedov,72,185.0,73.0,2.97,34,2.84,55,2.58,45,65,0.2,9,5,4,-1
24,b0550072e5f0afa7,Yoshihiro Akiyama,70,170.0,75.0,3.1,41,3.62,57,2.29,67,92,1.0,14,6,8,-1
25,1fc64507a0cb38cf,Rostem Akman,70,170.0,72.0,1.8,25,3.97,57,1.0,40,87,0.0,0,2,-2,-2
26,38b50fd1e1b5b656,Razak Al-Hassan,74,205.0,75.875,3.27,39,3.14,60,0.65,14,57,0.0,0,2,-2,-2
27,1cf1310684a841f5,Mostapha Al-Turk,74,245.0,77.0,1.36,19,3.61,53,0.0,0,0,0.0,0,3,-3,-3
28,e87a13e02c01331d,Ali AlQaisi,66,135.0,68.0,2.43,42,1.97,56,3.5,29,60,1.0,0,2,-2,-2
29,7578cc6bd750206b,Herdem Alacabek,74,205.0,75.0,3.84,65,6.66,23,2.06,50,42,0.0,0,1,-1,-1
30,1897b7b913736a7c,Alatengheili,65,135.0,66.0,2.86,33,5.07,58,1.73,33,72,0.0,3,1,2,1
31,6d35bf94f7d30241,Amir Albazi,65,125.0,68.0,3.79,42,3.01,55,3.09,62,66,1.2,3,0,3,3
32,7bd94b60d7521e4a,John Albert,68,135.0,68.0,3.05,49,2.82,35,0.0,0,50,6.1,1,4,-3,-4
33,c482c8605455a213,Junior Albini,75,264.0,74.0,3.98,51,6.08,52,1.54,37,100,0.0,1,4,-3,-4
34,e76d9f656ceb82ab,Aleksandra Albu,62,115.0,63.0,4.83,47,5.56,38,2.27,50,77,0.4,2,2,0,-2
35,2f95a3c6d58b2aad,Iuri Alcantara,69,135.0,71.0,2.72,45,2.79,49,1.44,62,60,0.8,11,7,4,-1
36,7c6e87729e824ef4,Ildemar Alcantara,74,185.0,78.0,1.93,38,2.63,50,2.0,68,81,0.9,4,3,1,-1
37,d26934530dc5b248,Gilbert Aldana,73,250.0,75.75,2.91,54,6.26,26,2.57,40,33,0.0,0,2,-2,-2
