name,ELO_x,prevdate,Best_Rating_to_Date,Avg_Elo_of_opponets,frFX,id
Georges St-Pierre,1991.87,11/4/2017 2:38,1991.87,1484.15,28,6506c1d34da9c013
Daniel Cormier,1957.22,11/3/2018 0:00,1957.22,1515.48,24,d967f0128c323de6
Jon Jones,1919.88,7/29/2017 2:52,1926.56,1438.1,24,07f72a2a7591b409
Gegard Mousasi,1880.79,9/29/2018 0:00,1880.79,1326.82,54,232c582f29f8f65e
Tyron Woodley,1878.25,9/8/2018 0:00,1878.25,1426.07,25,effd9de9937996f8
Khabib Nurmagomedov,1876.73,10/6/2018 0:00,1876.73,1255.7,27,032cc3922d871c7f
Max Holloway,1867.3,12/2/2017 3:07,1867.3,1397.38,23,150ff4cc642270b9
Tony Ferguson,1866.02,10/6/2018 0:00,1866.02,1316.4,30,22a92d7f62195791
Ryan Bader,1857.61,10/12/2018 0:00,1857.61,1400.03,34,c0ab242c40decc55
Dustin Poirier,1820.2,7/28/2018 3:07,1820.2,1387.4,31,029eaff01e6bb8f0
Robert Whittaker,1815.06,6/9/2018 3:07,1815.06,1335.26,26,e1147d3d2dabe1ce
TJ Dillashaw,1787.87,8/4/2018 2:52,1787.87,1400.01,22,c849740a3ff51931
Stipe Miocic,1785.03,7/7/2018 2:38,1824.79,1368.48,26,d28dee5c705991df
Anthony Johnson,1780.77,4/8/2017 3:07,1830.95,1457.54,28,365fee2da473b177
Patricio Freire,1777.91,7/14/2018 1:26,1786.46,1360.43,31,98a58c26c5b1ed17
Demetrious Johnson,1772.15,8/4/2018 2:38,1855.68,1317.62,33,8a304bfd6bf04a57
Jon Fitch,1765.88,5/12/2018 4:19,1765.88,1348.96,42,6f018c039b4d5d80
Kyoji Horiguchi,1765.81,7/28/2018 1:55,1765.81,1313.54,27,98aa60cf58071fd6
Jose Aldo,1762.24,7/28/2018 2:52,1845.42,1377.07,31,d0f3959b4a9747e6
Conor McGregor,1760.46,10/6/2018 0:00,1807.18,1327.59,26,f4c49976c75c5ab2
Robbie Lawler,1758.65,12/16/2017 2:38,1825.85,1407.35,43,f2925e6db404bf1d
Douglas Lima,1751.64,9/29/2018 0:00,1763.58,1292.27,38,264111bf62662fbf
Eddie Alvarez,1749.48,7/28/2018 3:07,1832.13,1413.31,36,33a331684283900f
Kelvin Gastelum,1748.24,5/12/2018 2:52,1748.24,1414.58,23,8c0580d4fff106c1
Frankie Edgar,1746.04,4/21/2018 2:24,1777.13,1463.96,30,f2688492b9a525a3
Marlon Moraes,1741.12,6/1/2018 2:52,1741.12,1291.37,27,fea79f9bc8c68769
Phil Davis,1736.9,5/25/2018 2:24,1736.9,1438.47,25,902ab9197b83d0db
Kamaru Usman,1734.06,5/19/2018 3:07,1734.06,1334.03,16,f1b2aa7853d1ed6e
Bibiano Fernandes,1728.18,3/24/2018 2:38,1728.18,1334.1,25,cbc071cb20ea59c7
Raphael Assuncao,1726.43,7/7/2018 1:12,1726.43,1293.59,33,2f13e4020cea5b38
Fedor Emelianenko,1718.93,10/13/2018 0:00,1888.31,1352.19,46,b8da6f5c80ae2d15
Kevin Lee,1717.03,4/21/2018 2:38,1717.03,1374.51,21,ee9ebceabfd16fa7
Justin Gaethje,1716.12,8/25/2018 0:00,1767.33,1286.57,28,9e8f6c728eb01124
Cain Velasquez,1713.04,7/9/2016 1:55,1723.63,1466.06,16,0ff11cc094e887bc
Colby Covington,1712.58,6/9/2018 2:52,1712.58,1266.47,16,dc9572dd6ec74859
Dominick Cruz,1710.03,12/30/2016 2:09,1788.09,1292.19,24,10f3ba6cd2f44a97
Luke Rockhold,1710.01,2/10/2018 2:52,1775.6,1449.7,20,00e11b5c8b7bfeeb
Brian Ortega,1709.71,3/3/2018 2:38,1709.71,1292.62,15,def8166ff24bd237
Michael Bisping,1703.76,11/25/2017 2:52,1803.52,1373.78,41,2b93ebd9f5417ad2
Rory MacDonald,1700.67,9/29/2018 0:00,1735.85,1415.63,25,cbd5d3cdd862e90e
Jimmie Rivera,1700.42,9/8/2018 0:00,1710.79,1258.93,27,9c907996820d2d69
Neil Magny,1698.31,5/27/2018 2:24,1714.79,1363.39,31,84b3e7d38f2d2ec5
Yoel Romero,1698.03,6/9/2018 3:07,1744.6,1476.97,16,f77c68bb4be8516d
