name,ELO_x,prevdate,Best_Rating_to_Date,Avg_Elo_of_opponets,frFX
Georges St-Pierre,1991.87,11/4/2017 2:38,1991.87,1484.15,28
Daniel Cormier,1957.22,11/3/2018 0:00,1957.22,1515.48,24
Jon Jones,1919.88,7/29/2017 2:52,1926.56,1438.1,24
Gegard Mousasi,1880.79,9/29/2018 0:00,1880.79,1326.82,54
Tyron Woodley,1878.25,9/8/2018 0:00,1878.25,1426.07,25
Khabib Nurmagomedov,1876.73,10/6/2018 0:00,1876.73,1255.7,27
Max Holloway,1867.3,12/2/2017 3:07,1867.3,1397.38,23
Tony Ferguson,1866.02,10/6/2018 0:00,1866.02,1316.4,30
Ryan Bader,1857.61,10/12/2018 0:00,1857.61,1400.03,34
Dustin Poirier,1820.2,7/28/2018 3:07,1820.2,1387.4,31
Robert Whittaker,1815.06,6/9/2018 3:07,1815.06,1335.26,26
TJ Dillashaw,1787.87,8/4/2018 2:52,1787.87,1400.01,22
Stipe Miocic,1785.03,7/7/2018 2:38,1824.79,1368.48,26
Anthony Johnson,1780.77,4/8/2017 3:07,1830.95,1457.54,28
Patricio Freire,1777.91,7/14/2018 1:26,1786.46,1360.43,31
Demetrious Johnson,1772.15,8/4/2018 2:38,1855.68,1317.62,33
Jon Fitch,1765.88,5/12/2018 4:19,1765.88,1348.96,42
Kyoji Horiguchi,1765.81,7/28/2018 1:55,1765.81,1313.54,27
Jose Aldo,1762.24,7/28/2018 2:52,1845.42,1377.07,31
Conor McGregor,1760.46,10/6/2018 0:00,1807.18,1327.59,26
Robbie Lawler,1758.65,12/16/2017 2:38,1825.85,1407.35,43
Douglas Lima,1751.64,9/29/2018 0:00,1763.58,1292.27,38
Eddie Alvarez,1749.48,7/28/2018 3:07,1832.13,1413.31,36
Kelvin Gastelum,1748.24,5/12/2018 2:52,1748.24,1414.58,23
Frankie Edgar,1746.04,4/21/2018 2:24,1777.13,1463.96,30
Marlon Moraes,1741.12,6/1/2018 2:52,1741.12,1291.37,27
Phil Davis,1736.9,5/25/2018 2:24,1736.9,1438.47,25
Kamaru Usman,1734.06,5/19/2018 3:07,1734.06,1334.03,16
Bibiano Fernandes,1728.18,3/24/2018 2:38,1728.18,1334.1,25
Raphael Assuncao,1726.43,7/7/2018 1:12,1726.43,1293.59,33
Fedor Emelianenko,1718.93,10/13/2018 0:00,1888.31,1352.19,46
Kevin Lee,1717.03,4/21/2018 2:38,1717.03,1374.51,21
Justin Gaethje,1716.12,8/25/2018 0:00,1767.33,1286.57,28
Cain Velasquez,1713.04,7/9/2016 1:55,1723.63,1466.06,16
Colby Covington,1712.58,6/9/2018 2:52,1712.58,1266.47,16
Dominick Cruz,1710.03,12/30/2016 2:09,1788.09,1292.19,24
Luke Rockhold,1710.01,2/10/2018 2:52,1775.6,1449.7,20
Brian Ortega,1709.71,3/3/2018 2:38,1709.71,1292.62,15
Michael Bisping,1703.76,11/25/2017 2:52,1803.52,1373.78,41
Rory MacDonald,1700.67,9/29/2018 0:00,1735.85,1415.63,25
Jimmie Rivera,1700.42,9/8/2018 0:00,1710.79,1258.93,27
Neil Magny,1698.31,5/27/2018 2:24,1714.79,1363.39,31
Yoel Romero,1698.03,6/9/2018 3:07,1744.6,1476.97,16
Rustam Khabilov,1694.51,9/15/2018 0:00,1694.51,1261.91,26
Santiago Ponzinibbio,1693.56,12/16/2017 2:09,1693.56,1185.63,32
John Lineker,1690.6,5/12/2018 2:24,1691.25,1218.39,39
Michel Prazeres,1687.7,5/19/2018 1:40,1687.7,1214.64,27
Shinya Aoki,1685.94,10/6/2018 0:00,1774.39,1359.29,52
Anderson Silva,1682.95,2/11/2017 2:09,1918.86,1384.32,43
Ramazan Emeev,1682.84,9/15/2018 0:00,1682.84,1263.73,21
Alexander Volkanovski,1682.79,7/14/2018 1:26,1682.79,1246.69,19
Derrick Lewis,1680.39,11/3/2018 0:00,1700.85,1307.45,29
Alexander Gustafsson,1679.2,5/28/2017 2:52,1679.2,1375.64,22
Pat Curran,1678.62,10/6/2017 2:09,1682.15,1339.5,31
Daniel Weichel,1676.49,7/14/2018 1:26,1726.21,1196.21,52
Nick Diaz,1672.28,1/31/2015 2:38,1738.99,1345.71,37
Rashid Magomedov,1671.06,10/12/2018 2:45,1671.06,1264.31,25
Anthony Smith,1667.88,10/27/2018 0:00,1667.88,1235.23,44
Chad Mendes,1667.71,7/14/2018 2:09,1715.39,1437.1,22
Darren Till,1665.1,9/8/2018 0:00,1694.16,1192.07,22
Fabricio Werdum,1663.1,3/17/2018 2:24,1776.35,1434.13,32
Leon Edwards,1662.05,6/23/2018 3:07,1662.05,1263.98,22
Emmanuel Sanchez,1660.42,4/28/2018 3:07,1660.42,1309.06,20
Leonardo Santos,1658.69,10/8/2016 0:14,1658.69,1249.98,23
Al Iaquinta,1657.41,4/7/2018 2:09,1693.29,1300.7,25
Henry Cejudo,1657.25,8/4/2018 2:38,1657.25,1353.37,15
Andrey Koreshkov,1656.06,9/29/2018 0:00,1714.73,1310.52,24
Alexander Volkov,1654.44,10/6/2018 0:00,1715.04,1245.91,37
Alex Oliveira,1653.78,9/22/2018 0:00,1656.24,1279.53,27
Benson Henderson,1650.33,10/13/2018 0:00,1807.96,1429.54,35
TJ Grant,1646.75,5/25/2013 2:09,1646.75,1266.66,26
Chris Weidman,1646.62,11/3/2018 0:00,1805.85,1529.36,18
David Branch,1645.97,11/3/2018 0:00,1757.25,1377.82,27
Darren Elkins,1642.43,7/14/2018 1:26,1704.17,1306.8,31
Mairbek Taisumov,1642.23,9/15/2018 0:00,1642.23,1210.35,32
Francisco Trinaldo,1641.15,9/22/2018 0:00,1684.95,1352.88,30
Demian Maia,1640.66,5/19/2018 3:07,1823.03,1483.46,34
Aljamain Sterling,1639.95,9/8/2018 0:00,1639.95,1312.76,22
Stephen Thompson,1639.61,5/27/2018 2:38,1698.65,1402.22,18
