id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum,elo,best_elo,avg_opp_elo
15df64c02b6b0fde,Danny Abbadi,71,155,75,3.29,38,4.41,57,0,0,77,0,0,2,-2,-2,986.39,1065.42,1127.24
b361180739bed4b0,David Abbott,72,265,75,1.35,30,3.55,38,1.07,33,66,0,8,13,-5,-7,953.32,1155.81,1131.39
2f5cbecbbe18bac4,Shamil Abdurakhimov,75,235,76,2.44,45,2.24,60,1.5,26,66,0.2,4,2,2,2,1500.2,1500.2,1209.79
c0ed7b208197e8de,Hiroyuki Abe,66,145,75,1.71,36,3.11,63,0,0,33,0,0,1,-1,0,1216.15,1236.53,1093.63
5140122c3eecd307,Daichi Abe,71,170,71,3.8,33,4.49,56,0.33,50,0,0,1,2,-1,-2,1230.65,1312.6,1186.18
c9f6385af6df66d7,Papy Abedi,71,185,74,2.8,55,3.15,48,3.47,57,50,1.3,1,3,-2,-1,1257.45,1307.04,1157.5
aa6e591c2a2cdecd,Ricardo Abreu,71,185,73,3.79,31,3.98,68,2.13,42,100,0.7,1,1,0,-1,1180.96,1228.16,1115.32
1c5879330d42255f,Daniel Acacio,68,180,75,3.52,36,2.85,62,0.33,20,81,0,2,2,0,-2,1175.36,1452.73,1213.84
a77633a989013265,Anthony Adams,72,185,77,3.4,47,5.6,44,0,0,0,0,0,0,0,0,1336.97,1408.42,1129.3
83b00f7597e5ac83,Juan Adams,77,265,81,13.31,78,1.4,57,0,0,100,0,0,0,0,1,1249.96,1249.96,1086.15
1338e2c7480bdf9e,Israel Adesanya,76,185,80,4.51,55,2.08,71,0,0,85,0.3,4,0,4,4,1638.26,1638.26,1243.12
ebc5af72ad5a28cb,Nick Agallar,68,155,75,0.69,11,4.56,42,0,0,0,0,0,1,-1,-1,1404.13,1419.97,1124.61
8f382b3baa954d2a,Jessica Aguilar,63,115,63,5.67,51,6.56,59,1.33,28,33,0,1,2,-1,1,1441.65,1573.61,1185.34
cf946e03ba2e7666,Kevin Aguilar,67,155,72,3.33,49,3.73,50,0,0,71,0,0,0,0,0,1533.24,1533.24,1175.64
9e3dbb9c68ed5d1a,Mike Aina,69,155,75,2.87,33,6.33,59,0,0,71,0,0,1,-1,1,1354.67,1354.67,1116.78
2eada40ac8801559,Hitomi Akano,64,135,75,0.59,45,2.58,55,0,0,8,0.5,1,3,-2,-1,1200.07,1316.26,1135
16690d100f995f8f,Omari Akhmedov,72,185,73,3.01,33,2.91,57,2.89,51,53,0.3,5,3,2,0,1439.44,1473.78,1190.05
b0550072e5f0afa7,Yoshihiro Akiyama,70,170,73,3.1,41,3.62,57,2.29,67,92,1,14,6,8,-1,1350.36,1498.82,1251.99
7bd94b60d7521e4a,John Albert,68,135,68,3.05,49,2.82,35,0,0,50,6.1,1,4,-3,-4,1131.62,1266.25,1141.47
c482c8605455a213,Junior Albini,75,264,74,4.03,50,6.17,53,0.77,50,100,0,1,2,-1,-2,1319.66,1393.57,1103.29
2f95a3c6d58b2aad,Iuri Alcantara,69,135,71,2.72,45,2.79,49,1.44,62,60,0.8,11,7,4,-1,1423.85,1601.17,1238.73
7c6e87729e824ef4,Ildemar Alcantara,74,185,78,1.93,38,2.63,50,2,68,81,0.9,4,3,1,-1,1168.09,1505.28,1199.07
