,id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
0,15df64c02b6b0fde,Danny Abbadi,71,155.0,75.0,3.29,38,4.41,57,0.0,0,77,0.0,0,2,-2,-2
1,b361180739bed4b0,David Abbott,72,265.0,75.0,1.35,30,3.55,38,1.07,33,66,0.0,8,13,-5,-7
2,2f5cbecbbe18bac4,Shamil Abdurakhimov,75,235.0,76.0,2.44,45,2.24,60,1.5,26,66,0.2,4,2,2,2
3,c0ed7b208197e8de,Hiroyuki Abe,66,145.0,75.0,1.71,36,3.11,63,0.0,0,33,0.0,0,1,-1,0
4,5140122c3eecd307,Daichi Abe,71,170.0,71.0,3.8,33,4.49,56,0.33,50,0,0.0,1,2,-1,-2
5,c9f6385af6df66d7,Papy Abedi,71,185.0,74.0,2.8,55,3.15,48,3.47,57,50,1.3,1,3,-2,-1
6,aa6e591c2a2cdecd,Ricardo Abreu,71,185.0,73.0,3.79,31,3.98,68,2.13,42,100,0.7,1,1,0,-1
7,1c5879330d42255f,Daniel Acacio,68,180.0,75.0,3.52,36,2.85,62,0.33,20,81,0.0,2,2,0,-2
8,83b00f7597e5ac83,Juan Adams,77,265.0,81.0,9.38,65,3.08,47,1.97,100,80,0.0,1,0,1,1
9,a77633a989013265,Anthony Adams,72,185.0,77.0,3.4,47,5.6,44,0.0,0,0,0.0,0,0,0,0
10,1338e2c7480bdf9e,Israel Adesanya,76,185.0,80.0,4.51,55,2.08,71,0.0,0,85,0.3,4,0,4,4
11,ebc5af72ad5a28cb,Nick Agallar,68,155.0,75.0,0.69,11,4.56,42,0.0,0,0,0.0,0,1,-1,-1
12,cf946e03ba2e7666,Kevin Aguilar,67,145.0,72.0,4.53,50,4.33,56,0.0,0,81,0.0,1,0,1,1
13,8f382b3baa954d2a,Jessica Aguilar,63,115.0,63.0,5.42,52,6.98,56,1.23,26,44,0.0,1,3,-2,-1
14,9e3dbb9c68ed5d1a,Mike Aina,69,155.0,75.0,2.87,33,6.33,59,0.0,0,71,0.0,0,1,-1,0
15,2eada40ac8801559,Hitomi Akano,64,135.0,75.0,0.59,45,2.58,55,0.0,0,8,0.5,1,3,-2,-1
16,16690d100f995f8f,Omari Akhmedov,72,185.0,73.0,3.01,33,2.91,57,2.89,51,53,0.3,5,3,2,0
17,b0550072e5f0afa7,Yoshihiro Akiyama,70,170.0,73.0,3.1,41,3.62,57,2.29,67,92,1.0,14,6,8,-1
18,38b50fd1e1b5b656,Razak Al-Hassan,74,205.0,75.87692307692308,3.27,39,3.14,60,0.65,14,57,0.0,0,2,-2,-2
