id,name,nickname,height,weight,reach,dob,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
ba5c6eeb8ef45f5c,Levi Avera,,"6'1""",170,,1982,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
e76d9f656ceb82ab,Alexandra Albu,Stitch,"5'2""",115,63,1990,5.26,51,5.01,41,.3.18,55,81,..0.6,2,0,2,2
73ef22f25d0f70e2,Romie Aram,,"5'10""",170,,1977,1.8,35,2.83,50,.2.50,62,83,..0.0,1,1,0,-1
8738eacd62e82a32,Matt Andersen,,"6'2""",230,,1971,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
e06fd1260ac865a7,Yoji Anjo,Mr. 200%,"5'11""",205,,1967,0,0,3.13,25,.0.00,0,0,..0.0,0,4,-4,-4
c4fe2e9a06ea5bcb,Benny Alloway,Blanco,"5'11""",170,75,1981,1.28,49,1.9,59,.0.62,50,26,..0.0,1,2,-1,-2
71002dbc1743b9a7,Felipe Arantes,Sertanejo,"5'8""",135,73,1988,2.37,45,2.66,64,.0.93,47,41,..0.7,5,6,-1,-3
67a992d4cff22466,Ericka Almeida,,"5'6""",115,68,1989,1.07,39,3.33,43,.0.50,33,37,..0.0,0,2,-2,-2
0e9869d712e81f8f,Sam Adkins,The Experience,"6'3""",225,,1965,0,0,0,0,.0.00,0,0,..0.0,2,2,0,-1
d562b12b8fe88336,JJ Ambrose,,"5'10""",170,,  --,3.16,69,6.32,33,.0.00,0,50,..0.0,0,1,-1,-1
0b31f87be71ebbb1,Ben Askren,Funky,"5'10""",170,,1984,0,0,0,0,.0.00,0,0,..0.0,0,0,0,1
8753e125f4499816,Blas Avena,The Disciple,"6'0""",170,74,1983,2.34,47,3.36,43,.2.37,80,50,..1.8,3,3,0,-1
578ef12674df1e6a,Irene Aldana,,"5'9""",135,68,1988,6.35,43,7.08,61,.0.50,50,95,..0.0,2,2,0,2
8fd76e1b49c00ae2,Kenneth Alexander,The Machine,"5'9""",155,,1977,0.88,19,2.2,66,.4.71,26,0,..0.0,0,1,-1,-1
c136b2a8852da5bd,Akbarh Arreola,El Caballero,"5'10""",155,71,1983,2.32,45,4.01,56,.1.07,100,33,..0.4,1,3,-2,-2
770b9d4813c25902,Chalid Arrab,Die Faust,"5'11""",205,,1975,1.56,34,1.63,56,.3.05,75,37,..1.0,1,1,0,-1
c487223b0289bda9,Hector Aldana,El Charro,"5'11""",170,72,1988,4,43,3.28,54,.3.08,100,0,..0.0,0,2,-2,-2
033d19259f589457,Anthony Avila,,"5'7""",145,,1988,0,0,0,0,.0.00,0,0,..0.0,1,0,1,1
f16ddfa31236efed,Estefani Almeida,,"5'4""",125,,1988,3.13,37,6.07,42,.0.00,0,0,..0.0,0,0,0,0
2dea80c069847321,Gilles Arsene,,"5'9""",190,,  --,0.06,10,2.45,32,.0.00,0,0,..0.0,0,1,-1,-1
83b00f7597e5ac83,Juan Adams,The Kraken,"6'5""",265,81,1992,13.31,78,1.4,57,.0.00,0,100,..0.0,0,0,0,1
2b074403b7c6cdb4,Thomas Almeida,Thominhas,"5'7""",135,70,1991,5.66,45,4.65,64,.0.00,0,75,..0.0,5,3,2,-2
c61b49cec6abd6b9,Rico Altamirano,,"5'10""",170,,  --,0,0,0,0,.0.00,0,0,..0.0,1,0,1,1
00debc804e2b1cd4,Dylan Andrews,The Villain,"6'1""",185,73,1979,2.21,50,2.72,46,.2.83,50,57,..0.4,2,3,-1,-3
2144954270be834d,Javi Alanis,,"5'6""",135,,  --,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
d25e39e74efb0a77,Art Arciniega,King Arthur,"5'8""",145,,1981,1.53,46,2.73,51,.0.00,0,50,..1.0,0,0,0,0
fd7acf42bd6e7e95,Bazigit Atajev,Volk,"6'1""",230,,  --,0.87,41,3.14,49,.1.00,33,0,..0.0,0,1,-1,-1
6a1901c62ab3870f,Jessica Andrade,Bate Estaca,"5'1""",115,62,1991,6.58,51,5.04,51,.3.20,58,75,..0.5,10,4,6,3
25b31165758402dd,Adam Antolin,Captain Chaos,"5'5""",125,63,1982,5.73,52,5,69,.0.00,0,100,..0.0,2,1,1,-1
7a15f3694c5cbc02,John Alessio,The Natural,"5'10""",155,72,1979,1.87,35,2.46,57,.1.78,36,72,..1.0,5,8,-3,-4
04643fd03d9159cc,Marcus Aurelio,Maximus,"5'10""",155,74,1973,1.42,33,2.27,59,.1.69,27,27,..1.3,5,8,-3,-4
4665cbf36b08193b,Chris Avila,,"5'10""",145,72,1993,2.37,30,4.17,48,.0.00,0,46,..0.0,0,2,-2,-2
c482c8605455a213,Junior Albini,Baby,"6'3""",264,74,1991,4.03,50,6.17,53,.0.77,50,100,..0.0,1,2,-1,-2
b0550072e5f0afa7,Yoshihiro Akiyama,,"5'10""",170,73,1975,3.1,41,3.62,57,.2.29,67,92,..1.0,14,6,8,-1
669a3cb6e394f515,Royce Alger,,"5'10""",199,,  --,0,0,0,0,.0.00,0,0,..0.0,0,2,-2,-2
e70de1859b7ee78e,Sultan Aliev,,"5'11""",170,74,1984,1.26,51,2.35,52,.1.62,50,100,..0.0,1,2,-1,-1
6ebe96a116e79e52,John Allan,,"6'1""",205,,1993,3.46,65,3.92,35,.0.00,0,57,..0.0,0,0,0,0
b361180739bed4b0,David Abbott,Tank,"6'0""",265,,  --,1.35,30,3.55,38,.1.07,33,66,..0.0,8,13,-5,-7
cad24459b28592ca,Eryk Anders,Ya Boi,"6'1""",185,75,1987,2.87,51,3.43,45,.2.48,42,58,..0.2,3,2,1,1
a0e75f4a13eb73f1,Megan Anderson,,"6'0""",145,73,1990,1.73,44,3.13,33,.0.00,0,50,..0.0,0,1,-1,1
d221ee27afc7a60e,Viscardi Andrade,,"5'11""",170,75,1984,3.26,42,2.77,63,.1.93,50,66,..0.3,3,1,2,2
d802174b0c0c1f4e,Magomed Ankalaev,,"6'3""",205,75,1992,3.92,57,1.16,70,.0.00,0,71,..0.0,1,1,0,1
5140122c3eecd307,Daichi Abe,,"5'11""",170,71,1991,3.8,33,4.49,56,.0.33,50,0,..0.0,1,2,-1,-2
ebc5af72ad5a28cb,Nick Agallar,,"5'8""",155,,1979,0.69,11,4.56,42,.0.00,0,0,..0.0,0,1,-1,-1
acb36c908d415c4a,Vinicius Castro,Mamute,"6'4""",205,,1989,3.92,64,3.46,34,.5.19,42,0,..3.5,0,0,0,1
bd92cf5da5413d2a,Anthony Alves,,,,,  --,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
2f95a3c6d58b2aad,Iuri Alcantara,Marajo,"5'9""",135,71,1980,2.72,45,2.79,49,.1.44,62,60,..0.8,11,7,4,-1
7c6e87729e824ef4,Ildemar Alcantara,Marajo,"6'2""",185,78,1982,1.93,38,2.63,50,.2.00,68,81,..0.9,4,3,1,-1
8f382b3baa954d2a,Jessica Aguilar,Jag,"5'3""",115,63,1982,5.67,51,6.56,59,.1.33,28,33,..0.0,1,2,-1,1
1291edf2d566a71a,Julio Arce,,"5'7""",145,70,1989,4.41,35,2.45,67,.0.30,16,93,..0.9,2,1,1,-1
6fd953151d981979,JJ Aldrich,,"5'5""",115,67,1992,3.72,39,3.87,63,.0.25,16,58,..0.0,3,1,2,3
dc5a6b2fdb27e7dc,Amilcar Alves,,"6'0""",170,,1988,0.5,46,2.02,30,.0.00,0,53,..0.0,0,2,-2,-2
1562b12763cc8d67,Alex Andrade,El Toro,"5'11""",200,,1974,0.2,36,2.6,53,.0.00,0,25,..0.8,0,2,-2,-2
247fbbfafea60bb1,Maiara Amanajas dos Santos,,"5'5""",115,,1987,5.53,35,24.47,33,.0.00,0,100,..0.0,0,0,0,0
30ad2050273d016a,Joey Armstrong,,,,,  --,0,0,0,0,.0.00,0,0,..0.0,1,0,1,1
210935fd21670f6d,Rich Attonito,The Raging Bull,"5'10""",170,72,1977,2.28,47,2.13,59,.0.74,37,75,..0.0,3,2,1,-1
c9f6385af6df66d7,Papy Abedi,Makambo,"5'11""",185,74,1978,2.8,55,3.15,48,.3.47,57,50,..1.3,1,3,-2,-1
d26934530dc5b248,Gilbert Aldana,El Peligro,"6'1""",250,,1977,2.91,54,6.26,26,.2.57,40,33,..0.0,0,2,-2,-2
9c9455912d917e4e,Tristan Arenal,,,155,,  --,0,0,0,0,.0.00,0,0,..0.0,1,0,1,1
05fbfe628658c538,Ricardo Arona,The Brazilian Tiger,"5'11""",205,,1978,1.66,48,1.15,57,.2.41,48,58,..1.2,8,4,4,-1
61fb8098ccf81c7f,Antonio Arroyo,,"6'2""",185,,1989,3.27,70,2.53,42,.4.00,36,0,..0.0,0,0,0,0
26387c19f32dda0f,Javy Ayala,Eye Candy,"6'1""",265,,1988,0.83,25,5,33,.0.00,0,0,..0.0,0,0,0,0
53adf5b845d91e4a,Bertrand Amoussou,,"5'8""",190,,  --,6.75,39,2.01,83,.0.00,0,0,..0.0,1,0,1,1
e741536153227386,Sean Alvarez,,"6'0""",235,,1971,0.89,37,3.25,47,.0.00,0,0,..0.0,0,1,-1,-1
6eaec40f724852f4,Jessin Ayari,Abacus,"6'0""",155,73,1992,3.58,38,3.4,59,.0.00,0,33,..0.3,1,2,-1,-2
cd2c4d30c6e13b47,Marina Rodriguez,,"5'7""",115,67,1987,5.26,50,3.1,58,.0.83,100,60,..0.0,0,0,0,0
b757c73f443d4fca,Olaf Alfonso,,"6'2""",170,,1974,0.74,26,5.33,37,.0.00,0,22,..0.6,0,4,-4,-4
c912f676692c353a,Jimmy Ambriz,The Titan,"6'2""",315,,1970,0.83,29,3.76,40,.3.13,57,100,..0.8,0,3,-3,-3
46e2ca71fd5089cb,Reese Andy,Riptide,"6'0""",205,,1973,2.87,50,3.5,58,.0.67,20,40,..0.0,0,2,-2,-2
196ed28337adc630,Pat Audinwood,Awesomely Awesome,"6'0""",155,,1986,1.17,12,4.31,41,.0.80,50,0,..0.0,0,2,-2,-2
ff222167cce02919,Bruno Assis,Brunao,"6'2""",185,,1992,1.27,43,3.2,36,.2.00,50,66,..1.0,0,0,0,0
49f78022126bf4a4,Cesar Arzamendia,Goku,"5'11""",155,71,1991,5.37,45,5.2,56,.7.32,75,0,..2.4,0,2,-2,-2
a77633a989013265,Anthony Adams,Sugafoot,"6'0""",185,77,1988,3.4,47,5.6,44,.0.00,0,0,..0.0,0,0,0,0
55ee431411ccf07a,Olivier Aubin-Mercier,The Canadian Gangster,"5'9""",155,70,1989,2.58,53,2.68,57,.2.97,35,68,..0.7,7,3,4,1
87a1dc546b1c5caf,Makwan Amirkhani,Mr. Finland,"5'10""",145,72,1988,1.75,49,1.6,59,.3.84,48,57,..1.6,4,1,3,1
4665f9f909cd7214,Shinsho Anzai,Animal,"5'7""",170,70,1985,3.23,58,3.75,45,.1.83,16,75,..0.0,2,2,0,-1
aa6e591c2a2cdecd,Ricardo Abreu,Demente,"5'11""",185,73,1984,3.79,31,3.98,68,.2.13,42,100,..0.7,1,1,0,-1
1e327b281ef6a745,Adlan Amagov,Borz,"6'2""",170,76,1986,3.29,47,0.82,78,.5.84,56,100,..0.0,5,1,4,3
31ee470ef5dc8d7f,Thiago Alves,Pitbull,"5'9""",170,70,1983,3.61,40,3.13,64,.0.74,68,63,..0.3,14,10,4,-2
2620f3eb21c79614,Scott Adams,,"6'0""",225,,  --,0,0,0,0,.0.00,0,0,..0.0,1,0,1,1
184b955181bdef52,Wes Albritton,,"5'10""",188,,  --,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
