id,name,height,weight,reach,dob,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
8738eacd62e82a32,Matt Andersen,6'2",230,,1971,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
9199e0735b83dd32,Andy Anderson,5'6",240,,1974,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
cf946e03ba2e7666,Kevin Aguilar,5'7",155,73,1988,3.96,40,4.81,52,.0.16,16,78,..0.0,3,4,-1,-4
26387c19f32dda0f,Javy Ayala,6'1",265,,1988,0.83,25,5.00,33,.0.00,0,0,..0.0,0,0,0,0
d6a3e131ad4ba064,Angga,5'7",145,68,1989,3.56,38,3.77,53,.0.00,0,33,..0.0,0,1,-1,-1
a77633a989013265,Anthony Adams,6'1",185,76,1988,3.17,41,5.93,44,.0.00,0,0,..0.0,0,2,-2,-2
41e83a89929d1327,Jailton Almeida,6'3",205,79,1991,3.48,53,0.49,12,.6.27,66,50,..2.1,3,0,3,3
aa6e591c2a2cdecd,Ricardo Abreu,5'11",185,,1984,3.79,31,3.98,68,.2.13,42,100,..0.7,1,1,0,-1
989b85f6540c86b1,John Adajar,5'9",170,75,1991,3.90,52,6.28,44,.0.00,0,0,..0.0,0,1,-1,-1
2f181c0467965b98,Brendan Allen,6'2",185,75,1995,4.15,55,4.18,44,.1.20,41,50,..1.4,8,2,6,2
7d420039bbfe7c1a,Aoriqileng,5'7",135,69,1993,6.07,48,7.18,48,.1.57,45,55,..0.0,2,2,0,2
a373085066dbfb54,Teddy Ash,6'1",185,73,1989,7.27,61,6.80,28,.0.00,0,100,..0.0,0,1,-1,-1
ee18ff42063174df,Ottman Azaitar,5'8",155,71,1990,8.43,57,1.76,67,.0.00,0,100,..0.0,2,0,2,2
fd7acf42bd6e7e95,Bazigit Atajev,6'1",230,,  --,0.87,41,3.14,49,.1.00,33,0,..0.0,0,1,-1,-1
1c5879330d42255f,Daniel Acacio,5'8",180,,1977,3.52,36,2.85,62,.0.33,20,81,..0.0,2,2,0,-2
6cadc0a0ba7dc015,Edwin Aguilar,5'10",185,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
23a8c33869bf5392,Karl Amoussou,5'11",185,,1985,1.47,34,2.67,54,.0.00,0,25,..1.0,0,1,-1,-1
e76d9f656ceb82ab,Aleksandra Albu,5'2",115,63,1990,4.83,47,5.56,38,.2.27,50,77,..0.4,2,2,0,-2
2f13e4020cea5b38,Raphael Assuncao,5'5",135,66,1982,3.20,40,2.34,68,.1.44,38,77,..0.3,14,8,6,-4
c61b49cec6abd6b9,Rico Altamirano,5'10",170,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,1,0,1,1
e741536153227386,Sean Alvarez,6'0",235,,1971,0.89,37,3.25,47,.0.00,0,0,..0.0,0,1,-1,-1
9be6020024133293,Cyril Asker,6'0",247,74,1985,3.35,39,5.82,35,.4.41,62,100,..0.9,2,3,-1,-1
bd92cf5da5413d2a,Anthony Alves,,,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
d0d7160824278840,Junior Assuncao,5'9",145,72,1981,3.31,62,2.06,44,.2.43,24,66,..0.7,2,3,-1,-1
ca28cdf526d6b6e9,Nurullo Aliev,,155,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,0,0,0
02bb48869eb7ac8f,Rayanne Amanda,5'2",115,62,1995,3.67,31,6.87,57,.1.00,25,0,..0.0,0,1,-1,-1
70fa1c64a2c439ef,Alen Amedovski,5'10",185,74,1988,0.55,25,3.91,36,.0.00,0,0,..0.0,0,3,-3,-3
ae071698e1a3ccd4,Christian Aguilera,5'9",170,72,1991,2.54,37,4.04,48,.0.00,0,60,..0.0,1,2,-1,-2
20821819c401ced8,Andre Amado,6'0",154,,  --,2.27,24,5.91,63,.0.00,0,20,..0.0,0,3,-3,-3
