event_id,method
de25520d54eab12d,KO/TKO
de25520d54eab12d,KO/TKO
de25520d54eab12d,U-DEC
de25520d54eab12d,KO/TKO
de25520d54eab12d,U-DEC
de25520d54eab12d,SUB
de25520d54eab12d,U-DEC
de25520d54eab12d,SUB
de25520d54eab12d,S-DEC
de25520d54eab12d,U-DEC
de25520d54eab12d,SUB
de25520d54eab12d,SUB
aa3153a9941b4d44,KO/TKO
aa3153a9941b4d44,KO/TKO
aa3153a9941b4d44,KO/TKO
aa3153a9941b4d44,U-DEC
aa3153a9941b4d44,SUB
aa3153a9941b4d44,SUB
aa3153a9941b4d44,SUB
aa3153a9941b4d44,SUB
aa3153a9941b4d44,U-DEC
aa3153a9941b4d44,U-DEC
aa3153a9941b4d44,U-DEC
aa3153a9941b4d44,U-DEC
42c96a9c4802e2e1,KO/TKO
42c96a9c4802e2e1,SUB
42c96a9c4802e2e1,U-DEC
42c96a9c4802e2e1,U-DEC
42c96a9c4802e2e1,KO/TKO
42c96a9c4802e2e1,S-DEC
42c96a9c4802e2e1,S-DEC
42c96a9c4802e2e1,SUB
42c96a9c4802e2e1,SUB
42c96a9c4802e2e1,KO/TKO
42c96a9c4802e2e1,S-DEC
42c96a9c4802e2e1,S-DEC
20821819c401ced8,SUB
20821819c401ced8,KO/TKO
20821819c401ced8,KO/TKO
20821819c401ced8,U-DEC
20821819c401ced8,KO/TKO
20821819c401ced8,U-DEC
20821819c401ced8,U-DEC
20821819c401ced8,S-DEC
20821819c401ced8,KO/TKO
20821819c401ced8,M-DEC
20821819c401ced8,SUB
20821819c401ced8,U-DEC
33a331684283900f,SUB
33a331684283900f,U-DEC
33a331684283900f,SUB
33a331684283900f,U-DEC
33a331684283900f,S-DEC
33a331684283900f,U-DEC
33a331684283900f,KO/TKO
33a331684283900f,U-DEC
33a331684283900f,KO/TKO
33a331684283900f,U-DEC
33a331684283900f,KO/TKO
33a331684283900f,U-DEC
33a331684283900f,U-DEC
1ef0eae31904e534,SUB
1ef0eae31904e534,KO/TKO
1ef0eae31904e534,U-DEC
1ef0eae31904e534,KO/TKO
1ef0eae31904e534,U-DEC
1ef0eae31904e534,U-DEC
1ef0eae31904e534,KO/TKO
1ef0eae31904e534,KO/TKO
1ef0eae31904e534,KO/TKO
1ef0eae31904e534,U-DEC
1ef0eae31904e534,KO/TKO
1ef0eae31904e534,KO/TKO
852454c572675334,KO/TKO
852454c572675334,KO/TKO
852454c572675334,KO/TKO
852454c572675334,S-DEC
852454c572675334,M-DEC
852454c572675334,SUB
852454c572675334,KO/TKO
852454c572675334,U-DEC
852454c572675334,KO/TKO
852454c572675334,SUB
852454c572675334,SUB
852454c572675334,U-DEC
852454c572675334,KO/TKO
852454c572675334,SUB
8d49545dadf9b919,SUB
8d49545dadf9b919,SUB
8d49545dadf9b919,U-DEC
8d49545dadf9b919,U-DEC
8d49545dadf9b919,KO/TKO
8d49545dadf9b919,U-DEC
8d49545dadf9b919,S-DEC
8d49545dadf9b919,U-DEC
8d49545dadf9b919,KO/TKO
8d49545dadf9b919,SUB
8d49545dadf9b919,U-DEC
8d49545dadf9b919,U-DEC
d5ae8074631762fc,SUB
d5ae8074631762fc,KO/TKO
d5ae8074631762fc,SUB
d5ae8074631762fc,U-DEC
d5ae8074631762fc,KO/TKO
d5ae8074631762fc,KO/TKO
d5ae8074631762fc,SUB
d5ae8074631762fc,KO/TKO
d5ae8074631762fc,KO/TKO
d5ae8074631762fc,U-DEC
d5ae8074631762fc,SUB
d5ae8074631762fc,S-DEC
d5ae8074631762fc,S-DEC
c0342805a1948cbb,KO/TKO
c0342805a1948cbb,S-DEC
c0342805a1948cbb,S-DEC
c0342805a1948cbb,KO/TKO
c0342805a1948cbb,KO/TKO
c0342805a1948cbb,KO/TKO
c0342805a1948cbb,KO/TKO
c0342805a1948cbb,KO/TKO
c0342805a1948cbb,U-DEC
c0342805a1948cbb,SUB
c0342805a1948cbb,SUB
c0342805a1948cbb,U-DEC
c0342805a1948cbb,SUB
03b1e846b09f721d,KO/TKO
03b1e846b09f721d,S-DEC
03b1e846b09f721d,SUB
03b1e846b09f721d,U-DEC
03b1e846b09f721d,U-DEC
03b1e846b09f721d,U-DEC
03b1e846b09f721d,U-DEC
03b1e846b09f721d,S-DEC
03b1e846b09f721d,U-DEC
03b1e846b09f721d,KO/TKO
03b1e846b09f721d,U-DEC
03b1e846b09f721d,KO/TKO
